bank,date,web_traffic,number_of_employee,assets_under_management,number_of_branches,age,has_stores,founded_before_2000,cross_visitation,rank,category_best_salary_accounts_helmycash,category_best_savings_accounts_helpmycash,incentive,apr,mentions
n26,2022-10-01,5354.453814001844,1500,8000000000,0,11,0,0,0.042500000447034836,8.0,1,0,300€,2%,1
n26,2022-10-01,5354.453814001844,1500,8000000000,0,11,0,0,0.042500000447034836,8.0,0,1,300€,2%,1
n26,2022-10-01,13014.949555790387,1500,8000000000,0,11,0,0,0.042500000447034836,8.0,0,0,300€,2%,1
n26,2022-10-01,13014.949555790387,1500,8000000000,0,11,0,0,0.042500000447034836,8.0,1,0,300€,2%,1
n26,2022-10-01,13014.949555790387,1500,8000000000,0,11,0,0,0.042500000447034836,8.0,0,1,300€,2%,1
n26,2022-11-01,9354.98767605288,1500,8000000000,0,11,0,0,0.05797101557254791,8.0,0,0,300€,2%,0
n26,2022-11-01,9354.98767605288,1500,8000000000,0,11,0,0,0.05797101557254791,7.0,1,0,300€,2%,0
n26,2022-11-01,9354.98767605288,1500,8000000000,0,11,0,0,0.05797101557254791,7.0,0,1,300€,2%,0
n26,2022-11-01,9779.149729760553,1500,8000000000,0,11,0,0,0.05797101557254791,8.0,0,0,300€,2%,0
n26,2022-11-01,9779.149729760553,1500,8000000000,0,11,0,0,0.05797101557254791,7.0,1,0,300€,2%,0
n26,2022-11-01,9779.149729760553,1500,8000000000,0,11,0,0,0.05797101557254791,7.0,0,1,300€,2%,0
n26,2022-12-01,5165.09800463829,1500,8000000000,0,11,0,0,0.06012658402323723,8.0,0,0,300€,2%,3
n26,2022-12-01,5165.09800463829,1500,8000000000,0,11,0,0,0.06012658402323723,7.0,1,0,300€,2%,3
n26,2022-12-01,5165.09800463829,1500,8000000000,0,11,0,0,0.06012658402323723,7.0,0,1,300€,2%,3
n26,2022-12-01,11302.005588201922,1500,8000000000,0,11,0,0,0.06012658402323723,8.0,0,0,300€,2%,3
n26,2022-12-01,11302.005588201922,1500,8000000000,0,11,0,0,0.06012658402323723,7.0,1,0,300€,2%,3
n26,2022-12-01,11302.005588201922,1500,8000000000,0,11,0,0,0.06012658402323723,7.0,0,1,300€,2%,3
n26,2023-01-01,6291.218744785735,1500,8000000000,0,11,0,0,0.05986696109175682,9.0,0,0,300€,2%,3
n26,2023-01-01,6291.218744785735,1500,8000000000,0,11,0,0,0.05986696109175682,8.0,1,0,300€,2%,3
n26,2023-01-01,6291.218744785735,1500,8000000000,0,11,0,0,0.05986696109175682,8.0,0,1,300€,2%,3
n26,2023-01-01,6858.590184761588,1500,8000000000,0,11,0,0,0.05986696109175682,9.0,0,0,300€,2%,3
n26,2023-01-01,6858.590184761588,1500,8000000000,0,11,0,0,0.05986696109175682,8.0,1,0,300€,2%,3
n26,2023-01-01,6858.590184761588,1500,8000000000,0,11,0,0,0.05986696109175682,8.0,0,1,300€,2%,3
n26,2023-02-01,6289.0524789627725,1500,8000000000,0,11,0,0,0.04273504391312599,9.0,0,0,300€,2%,2
n26,2023-02-01,6289.0524789627725,1500,8000000000,0,11,0,0,0.04273504391312599,8.0,1,0,300€,2%,2
n26,2023-02-01,6289.0524789627725,1500,8000000000,0,11,0,0,0.04273504391312599,8.0,0,1,300€,2%,2
n26,2023-02-01,7424.03914524577,1500,8000000000,0,11,0,0,0.04273504391312599,9.0,0,0,300€,2%,2
n26,2023-02-01,7424.03914524577,1500,8000000000,0,11,0,0,0.04273504391312599,8.0,1,0,300€,2%,2
n26,2023-02-01,7424.03914524577,1500,8000000000,0,11,0,0,0.04273504391312599,8.0,0,1,300€,2%,2
n26,2023-03-01,5844.544203102415,1500,8000000000,0,11,0,0,0.041806019842624664,9.0,0,0,300€,2%,1
n26,2023-03-01,5844.544203102415,1500,8000000000,0,11,0,0,0.041806019842624664,7.0,1,0,300€,2%,1
n26,2023-03-01,5844.544203102415,1500,8000000000,0,11,0,0,0.041806019842624664,7.0,0,1,300€,2%,1
