bank,date,web_traffic,cross_visitation,search_interest,rank,incentive,apr,mentions,app_installs,ppc_spend
revolut,2022-08-01,4602.381164147279,0.07761193811893463,32.0,9.0,0.0,0.0,0.0,41547.82147994212,1792.005256471697
revolut,2022-09-01,9032.796517813407,0.0515873022377491,7.775,10.0,0.0,0.0,1.0,43456.75263141973,312.5748205609324
revolut,2022-10-01,6463.124093192265,0.04738154634833336,32.0,10.0,0.0,0.0,0.0,44601.96701140312,2416.2169281666847
revolut,2022-11-01,8429.248465428038,0.06142506003379822,32.0,7.0,0.0,0.0,0.0,43147.56428575801,1675.3463570239096
revolut,2022-12-01,5686.426537295162,0.06040268391370773,7.0,7.0,0.0,0.0,2.0,36839.28168571199,5183.673605789499
revolut,2023-01-01,7935.564101445778,0.046070460230112076,32.0,8.0,0.0,0.0,0.0,38126.02519975821,3208.0645934647096
revolut,2023-02-01,7681.633005270518,0.07239819318056107,32.0,8.0,0.0,0.0,0.0,58212.07848576509,2550.043255324586
revolut,2023-03-01,6635.917039374039,0.05255023017525673,32.0,8.0,0.0,0.0,0.0,48438.397896782204,4084.3318821908583
revolut,2023-04-01,4491.217019181385,0.05223880708217621,7.775,8.0,0.0,0.0,1.0,43754.64664175548,2699.645232273606
revolut,2023-05-01,6999.442780011702,0.056300267577171326,4.375,8.0,0.0,0.0,1.0,53588.268102514565,3791.0857785322287
revolut,2023-06-01,5608.260579251467,0.058139536529779434,7.0,8.0,0.0,0.0,2.0,49298.00623892591,3343.618648371849
revolut,2023-07-01,9965.096829150581,0.07571801543235779,4.375,8.0,0.0,0.0,1.0,76422.20494459171,10208.233357191937
revolut,2023-08-01,16445.37661086263,0.0780911073088646,7.0,7.0,0.0,0.0,2.0,125351.22495177167,15126.088814550432
revolut,2023-09-01,9423.148002535894,0.06647399067878723,4.375,7.0,0.0,0.0,1.0,81489.48642049753,5664.1823883781335
revolut,2023-10-01,9094.833809237427,0.08503401279449463,4.375,7.0,0.0,0.0,1.0,91672.1541549056,7416.778371186057
revolut,2023-11-01,7857.143495084002,0.07563025504350662,33.675,8.0,0.0,0.0,0.0,112559.82782197738,24734.997775691405
